event_id,date,segment,start_time,end_time,duration_seconds,duration_minutes,n_windows,max_hybrid_score,mean_hybrid_score,max_if_score,max_ae_score,max_power_range,max_power_step,max_flat_steps_fraction,max_pf_std,global_pf_min,global_pf_max,max_pf_step,max_power_drop,max_dip_range,mean_sustained_low_fraction,total_repetitive_dip_count,max_zero_power_fraction,total_zero_power_duration_seconds,strong_event_threshold,is_strong_event,cue_sharp_spike,cue_pf_abnormal,cue_meter_freeze,cue_strong_ml,cue_deep_dip,cue_sustained_low,cue_long_zero,cue_repetitive_dips,cue_peak_hour_dip,theft_cues,is_theft_like_event
0,2024-11-30,night,2024-11-30 05:50:05,2024-11-30 06:01:05,660.0,11.0,1,0.30218811279445246,0.30218811279445246,0.5216603322765192,0.08271589331238571,1630.76,1601.84,0.125,0.11708211743140888,0.36,1.0,0.63,1586.54,295.13058333333333,0.0,5,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
1,2024-11-30,morning,2024-11-30 06:12:15,2024-11-30 06:55:55,2620.0,43.666666666666664,4,0.39132238196285213,0.37570620914032055,0.7253733170417059,0.07989597613209155,1975.18,1971.5200000000002,0.13333333333333333,0.13973536496614672,0.01,1.0,0.98,1932.08,1142.7865833333333,0.0,30,0.0,0.0,0.4941581320573496,False,False,True,False,False,False,False,False,False,False,['PF Abnormality'],True
2,2024-11-30,morning,2024-11-30 07:18:00,2024-11-30 07:28:50,650.0,10.833333333333334,1,0.3678925837917806,0.3678925837917806,0.6006960191139635,0.13508914846959763,1381.6699999999998,1379.28,0.16666666666666666,0.21184898643976455,0.01,1.0,0.97,1339.47,165.3670833333333,0.0,3,0.0,0.0,0.4941581320573496,False,False,True,True,False,False,False,False,False,False,"['PF Abnormality', 'Meter Freeze']",True
3,2024-11-30,morning,2024-11-30 09:38:55,2024-11-30 09:49:45,650.0,10.833333333333334,1,0.37748236510677785,0.37748236510677785,0.6409649869484525,0.11399974326510322,2085.9399999999996,1855.28,0.11666666666666667,0.12453067448981751,0.24,1.0,0.76,1855.28,355.25958333333335,0.008333333333333333,41,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
4,2024-11-30,afternoon,2024-11-30 12:12:00,2024-11-30 12:36:20,1460.0,24.333333333333332,1,0.2857159214115586,0.2857159214115586,0.539024829620286,0.03240701320283121,1623.2700000000002,1621.3500000000001,0.16666666666666666,0.09950697909638745,0.28,1.0,0.65,1451.8500000000001,116.83208333333332,0.25833333333333336,5,0.0,0.0,0.4941581320573496,False,False,False,True,False,False,False,False,False,False,['Meter Freeze'],True
5,2024-11-30,afternoon,2024-11-30 16:47:55,2024-11-30 16:58:40,645.0,10.75,1,0.4016955753345832,0.4016955753345832,0.6787370455132461,0.1246541051559204,1563.3799999999999,1488.68,0.13333333333333333,0.21408135460354527,0.06,1.0,0.94,1461.21,391.5818333333334,0.0,17,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
6,2024-11-30,afternoon,2024-11-30 17:53:20,2024-11-30 18:15:10,1310.0,21.833333333333332,2,0.4137979366240747,0.3895311289947293,0.7925791984619885,0.04892414768033972,2096.21,1984.31,0.10833333333333334,0.08562576033725679,0.48,1.0,0.52,1929.95,1069.3670833333333,0.0,44,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
7,2024-12-01,night,2024-12-01 04:59:40,2024-12-01 05:10:30,650.0,10.833333333333334,1,0.2964464614559146,0.2964464614559146,0.5191999109378851,0.07369301197394411,1275.36,1274.44,0.16666666666666666,0.18463447372819866,0.26,1.0,0.71,1099.56,59.07575,0.0,5,0.0,0.0,0.4941581320573496,False,False,False,True,False,False,False,False,False,False,['Meter Freeze'],True
8,2024-12-01,morning,2024-12-01 06:48:55,2024-12-01 07:10:35,1300.0,21.666666666666668,2,0.5526299203441916,0.48823401967319463,0.9906993345324699,0.11456050615591314,3313.93,1948.6100000000001,0.125,0.14327166793659288,0.29,1.0,0.6699999999999999,1883.0300000000002,1531.6630833333338,0.0,22,0.0,0.0,0.4941581320573496,True,False,False,False,True,False,False,False,False,False,['Strong ML Anomaly'],True
9,2024-12-01,morning,2024-12-01 08:59:50,2024-12-01 09:21:35,1305.0,21.75,2,0.3641053611307363,0.3434792490449773,0.6812829578765991,0.04692776438487356,1869.6000000000001,1869.1000000000001,0.19166666666666668,0.044510922504731605,0.68,1.0,0.31999999999999995,1786.63,1668.393416666667,0.0,15,0.0,0.0,0.4941581320573496,False,False,False,True,False,False,False,False,False,False,['Meter Freeze'],True
10,2024-12-01,morning,2024-12-01 10:16:55,2024-12-01 10:38:40,1305.0,21.75,2,0.45204132677506326,0.4503781789623924,0.7545197649901492,0.15942410942242052,2064.63,1923.0300000000002,0.09166666666666666,0.23152819602708338,0.0,1.0,0.96,1860.11,313.38041666666663,0.0,87,0.0,0.0,0.4941581320573496,False,False,True,False,False,False,False,False,True,True,"['PF Abnormality', 'Repetitive Dip Pattern', 'Dip During Peak Hours']",True
11,2024-12-01,morning,2024-12-01 11:11:30,2024-12-01 11:22:20,650.0,10.833333333333334,1,0.3588566056440758,0.3588566056440758,0.6041256978149087,0.11358751347324295,1508.46,1498.12,0.13333333333333333,0.23682007938517377,0.33,1.0,0.64,1329.0,47.74241666666666,0.0,13,0.0,0.0,0.4941581320573496,False,False,True,False,False,False,False,False,False,False,['PF Abnormality'],True
12,2024-12-01,evening,2024-12-01 23:12:55,2024-12-02 02:34:15,12080.0,201.33333333333334,1,0.8382961352888851,0.8382961352888851,0.7698350486941649,0.9067572218836054,225.91,219.32,0.625,0.02449475567454299,0.82,1.0,0.17000000000000004,188.41,85.13466666666666,0.5666666666666667,2,0.5666666666666667,340.0,0.4941581320573496,True,False,False,True,True,False,True,True,False,True,"['Meter Freeze', 'Strong ML Anomaly', 'Sustained Low Power', 'Long Near-Zero Power', 'Dip During Peak Hours']",True
13,2024-12-02,morning,2024-12-02 06:23:50,2024-12-02 06:45:40,1310.0,21.833333333333332,2,0.3448732666241318,0.33546923380304106,0.6339111841534808,0.06987664368155912,1965.57,1957.26,0.11666666666666667,0.13364128499664898,0.37,1.0,0.58,1853.33,1324.6705,0.0,22,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
14,2024-12-02,morning,2024-12-02 08:56:50,2024-12-02 09:07:45,655.0,10.916666666666666,1,0.36203581596037954,0.36203581596037954,0.6701827837002807,0.053888848220478326,1935.22,1926.3200000000002,0.09166666666666666,0.09366592526396969,0.23,1.0,0.76,38.07999999999993,1611.6500833333334,0.0,24,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
15,2024-12-02,morning,2024-12-02 09:18:55,2024-12-02 09:29:45,650.0,10.833333333333334,1,0.35612928764163165,0.35612928764163165,0.6662329737580125,0.04602560152525079,1971.17,1875.98,0.1,0.043406908692306366,0.55,1.0,0.44999999999999996,1861.48,1789.3891666666666,0.0,20,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
16,2024-12-02,afternoon,2024-12-02 12:05:25,2024-12-02 12:46:25,2460.0,41.0,4,0.466217505441732,0.38668156947455373,0.8663682999468992,0.09301387221578798,3299.35,1997.32,0.09166666666666666,0.1640474186189943,0.07,1.0,0.9299999999999999,1969.6800000000003,1616.7261666666666,0.0,49,0.0,0.0,0.4941581320573496,False,False,False,False,False,True,False,False,False,False,['Deep Power Dip'],True
17,2024-12-02,evening,2024-12-02 20:22:35,2024-12-02 20:32:45,610.0,10.166666666666666,1,0.32249912272118963,0.32249912272118963,0.541274214419293,0.10372403102308625,1836.0600000000002,1634.22,0.03333333333333333,0.18215805103139293,0.18,1.0,0.79,1624.46,137.95208333333335,0.0,18,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
18,2024-12-02,evening,2024-12-02 21:02:50,2024-12-02 21:12:45,595.0,9.916666666666666,1,0.310978134434005,0.310978134434005,0.5245068023180113,0.0974494665499988,1686.02,1684.14,0.08333333333333333,0.20327921069307603,0.38,1.0,0.59,1509.8700000000001,24.445250000000016,0.0,2,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
19,2024-12-02,evening,2024-12-02 21:52:50,2024-12-02 22:02:45,595.0,9.916666666666666,1,0.33332741750338274,0.33332741750338274,0.5965245609148637,0.07013027409190173,1740.51,1706.79,0.075,0.014386529193041054,0.93,1.0,0.06999999999999995,1697.3600000000001,339.22175000000004,0.0,4,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
20,2024-12-03,morning,2024-12-03 06:23:50,2024-12-03 06:33:45,595.0,9.916666666666666,1,0.35423510358960286,0.35423510358960286,0.6950287618371335,0.013441445342072254,66.91000000000031,1991.6200000000001,0.05,0.0,1.0,1.0,0.030000000000000027,11.840000000000146,22.250750000000153,0.0,11,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
21,2024-12-03,morning,2024-12-03 06:43:50,2024-12-03 06:53:50,600.0,10.0,1,0.37443835704776984,0.37443835704776984,0.6709966329960505,0.07788008109948914,2816.8399999999997,1406.18,0.058333333333333334,0.05404601948545538,0.58,1.0,0.42000000000000004,1405.9499999999998,807.7745833333333,0.0,15,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
22,2024-12-03,morning,2024-12-03 08:04:05,2024-12-03 08:14:05,600.0,10.0,1,0.3045894907123786,0.3045894907123786,0.4996874361111973,0.10949154531355988,1535.91,1388.16,0.1,0.18395923461462868,0.04,1.0,0.95,1380.5900000000001,152.01633333333334,0.0,7,0.0,0.0,0.4941581320573496,False,False,False,False,False,False,False,False,False,False,[],False
